Date,Municipality,Region,City,Deaths,Seriously injured,Slightly injured,Speed,Escapists,Climate,Subtype,Subzone,Wind,Moment,Type
18/07/2010,TALLADA D'EMPORDA; LA,Baix Emporda,Girona,0,2,1,70,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
30/04/2010,RODA DE BARA,Tarragones,Tarragona,0,1,4,60,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
17/06/2010,TORRELLES DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,40,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
24/06/2010,RIPOLLET,Valles Occidental,Barcelona,0,1,0,70,No,Good weather,Fall on the road,Road,Light wind,Afternoon,Overturn in roadway
27/03/2010,RIUDOMS,Baix Camp,Tarragona,1,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
29/10/2010,SANT CARLES DE LA RAPITA,Montsia,Tarragona,1,0,0,100,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
25/11/2010,BLANES,Selva,Girona,0,1,0,NA,No,Good weather,Other,Urban zone,Light wind,Night,Other
26/02/2010,CASTELL-PLATJA D'ARO,Baix Emporda,Girona,0,1,1,80,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
19/10/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
07/05/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
16/01/2010,VALL D'EN BAS; LA,Garrotxa,Girona,0,2,1,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
18/08/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,NA,No,Good weather,On vacation,Urban zone,Light wind,Afternoon,Moving vehicles collision
29/11/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
12/12/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
04/10/2010,ALFARRAS,Segria,Lleida,0,2,0,100,No,Good weather,Run over,Crossing,Light wind,Morning,Run over
14/03/2010,LLORET DE MAR,Selva,Girona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
27/08/2010,CORNELLA DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
01/12/2010,SABADELL,Valles Occidental,Barcelona,0,2,0,70,No,Good weather,Onslaught (front-side),Road,Light wind,Night,Moving vehicles collision
25/06/2010,BELLVEI,Baix Penedes,Tarragona,0,1,0,70,No,Good weather,Run over,Road,Light wind,Morning,Run over
02/04/2010,VIDRERES,Selva,Girona,0,3,1,100,No,Good weather,Onslaught (front-side),Road,Moderate wind,Afternoon,Moving vehicles collision
14/08/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
05/03/2010,TORDERA,Maresme,Barcelona,1,0,0,100,No,Heavy rain,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
23/04/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
06/09/2010,SANT CUGAT DEL VALLES,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
23/10/2010,CASTELLO D'EMPURIES,Alt Emporda,Girona,1,0,0,NA,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Night,Collision against an object in the roadway
17/12/2010,TERRASSA,Valles Occidental,Barcelona,0,2,0,50,Yes,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
24/06/2010,BARCELONA,Barcelones,Barcelona,0,1,5,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
24/05/2010,TORREGROSSA,Pla d'Urgell,Lleida,1,0,0,70,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
30/09/2010,AMPOSTA,Montsia,Tarragona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
26/06/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
11/12/2010,GIRONA,Girones,Girona,0,1,0,30,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
31/10/2010,PONTS,Noguera,Lleida,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
15/12/2010,ARBO?; L',Baix Penedes,Tarragona,0,1,0,50,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
23/05/2010,SUBIRATS,Alt Penedes,Barcelona,0,1,0,70,No,Good weather,Run over,Crossing,Light wind,Morning,Run over
30/07/2010,BARCELONA,Barcelones,Barcelona,0,2,0,100,No,Good weather,Run over,Urban zone,Light wind,Night,Run over
26/02/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Night,Collision against an object in the roadway
23/11/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
08/08/2010,ARENYS DE MAR,Maresme,Barcelona,0,1,1,100,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
21/06/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Afternoon,Moving vehicles collision
25/08/2010,LLEIDA,Segria,Lleida,1,0,1,100,No,Good weather,Frontal collision,Urban zone,Light wind,Morning,Moving vehicles collision
06/11/2010,CERDANYOLA DEL VALLES,Valles Occidental,Barcelona,0,1,2,100,No,Good weather,Other,Road,Light wind,Afternoon,Other
23/02/2010,TORROELLA DE MONTGRI,Baix Emporda,Girona,0,1,1,100,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
23/12/2010,ROCA DEL VALLES; LA,Valles Oriental,Barcelona,0,2,0,60,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
04/04/2010,CALONGE,Baix Emporda,Girona,0,1,0,100,No,Good weather,Frontal collision,Crossing,Light wind,Morning,Moving vehicles collision
09/06/2010,ALCANAR,Montsia,Tarragona,0,1,0,40,No,Good weather,Run over,Road,Light wind,Morning,Run over
17/06/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
10/09/2010,FIGUERES,Alt Emporda,Girona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
03/10/2010,BANYOLES,Pla de l'Estany,Girona,0,1,0,40,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
25/08/2010,PERA; LA,Baix Emporda,Girona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
16/04/2010,OLERDOLA,Alt Penedes,Barcelona,0,1,0,30,No,Good weather,Other,Urban zone,Light wind,Morning,Other
04/06/2010,SABADELL,Valles Occidental,Barcelona,0,2,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Night,Collision against an object in the roadway
19/10/2010,BARCELONA,Barcelones,Barcelona,0,1,2,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
02/07/2010,BARCELONA,Barcelones,Barcelona,1,0,1,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
03/05/2010,POLINYA,Valles Occidental,Barcelona,0,1,0,100,No,Heavy rain,Frontal collision,Road,Moderate wind,Afternoon,Moving vehicles collision
15/02/2010,BADALONA,Barcelones,Barcelona,0,3,1,80,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
02/02/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,NA,Unspecified,Good weather,Lateral collision/friction,Urban zone,Light wind,Night,Moving vehicles collision
27/08/2010,TARRAGONA,Tarragones,Tarragona,0,1,1,NA,Unspecified,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
08/09/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
16/06/2010,VILADECAVALLS,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
31/10/2010,ODEN,Solsones,Lleida,0,1,1,100,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
08/01/2010,CASTELLBELL I EL VIL,Bages,Barcelona,1,2,1,60,No,Good weather,Onslaught (front-side),Road,Moderate wind,Morning,Moving vehicles collision
23/07/2010,VIC,Osona,Barcelona,0,1,2,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
17/04/2010,BARCELONA,Barcelones,Barcelona,1,0,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
23/05/2010,VANDELLOS I L'HOSPITALET DE L'INFANT,Baix Camp,Tarragona,0,1,1,NA,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
22/10/2010,SABADELL,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
28/02/2010,ALCANAR,Montsia,Tarragona,0,1,0,100,No,Good weather,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
06/11/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,30,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
09/12/2010,GIRONA,Girones,Girona,0,1,0,30,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
07/10/2010,CERDANYOLA DEL VALLES,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
12/06/2010,BENIFALLET,Baix Ebre,Tarragona,0,1,0,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
21/12/2010,MOIA,Moianès,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
24/09/2010,SANTA EUGENIA DE BER,Osona,Barcelona,0,2,2,60,No,Light rain,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
07/11/2010,RIUDOMS,Baix Camp,Tarragona,3,4,5,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
27/11/2010,MASSANES,Selva,Girona,0,1,0,NA,No,Light rain,Road exit with overturn,Road,Light wind,Night,Unspecified roadway exit
20/01/2010,VILANOVA I LA GELTRU,Garraf,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
11/06/2010,PRAT DE LLOBREGAT; E,Baix Llobregat,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
09/11/2010,CASTELLDEFELS,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
08/05/2010,SANTA MARIA D'OLO,Moianès,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
30/10/2010,SORT,Pallars Sobira,Lleida,0,1,1,70,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
19/02/2010,ROQUETES,Baix Ebre,Tarragona,0,1,2,100,No,Good weather,Run over,Crossing,Light wind,Afternoon,Run over
29/08/2010,SALOU,Tarragones,Tarragona,0,1,0,50,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Afternoon,Collision against an object in the roadway
12/09/2010,GRANOLLERS,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
09/10/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
18/02/2010,MASNOU; EL,Maresme,Barcelona,0,1,0,50,No,Good weather,Run over,Road,Light wind,Morning,Run over
06/07/2010,CASTELLBELL I EL VIL,Bages,Barcelona,0,1,0,60,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Afternoon,Collision against an object in the roadway
19/01/2010,AMPOLLA; L',Baix Ebre,Tarragona,0,1,3,80,No,Good weather,Other roadway exits,Road,Light wind,Night,Unspecified roadway exit
25/06/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Night,Run over
11/06/2010,MOLLET DEL VALLES,Valles Oriental,Barcelona,0,1,0,NA,No,Good weather,Fall on the road,Road,Light wind,Afternoon,Overturn in roadway
11/12/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
20/12/2010,BARCELONA,Barcelones,Barcelona,0,1,2,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
22/05/2010,BADALONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Night,Overturn in roadway
29/03/2010,ALT ANEU,Pallars Sobira,Lleida,0,1,0,40,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Night,Collision against an object in the roadway
04/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
30/03/2010,MATARO,Maresme,Barcelona,0,1,0,NA,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
28/04/2010,BADALONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
10/04/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Morning,Moving vehicles collision
19/10/2010,TARRAGONA,Tarragones,Tarragona,0,2,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
22/04/2010,GRANOLLERS,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
21/11/2010,PARETS DEL VALLES,Valles Oriental,Barcelona,1,0,0,100,No,Good weather,Run over,Road,Light wind,Morning,Run over
08/12/2010,VALLFOGONA DE BALAGUER,Noguera,Lleida,1,0,1,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Night,Collision against an object in the roadway
01/03/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Morning,Moving vehicles collision
09/04/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
26/10/2010,ROSES,Alt Emporda,Girona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
27/09/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
28/09/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
24/02/2010,CASTELLGALI,Bages,Barcelona,1,0,4,100,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
28/04/2010,GRANOLLERS,Valles Oriental,Barcelona,0,1,0,30,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
06/06/2010,RIBERA D'URGELLET,Alt Urgell,Lleida,0,1,2,100,No,Light rain,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
13/12/2010,GIRONA,Girones,Girona,0,1,1,100,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
16/10/2010,LLAGOSTA; LA,Valles Oriental,Barcelona,1,0,0,100,No,Good weather,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
04/06/2010,AIGUAVIVA,Girones,Girona,0,1,0,50,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
10/07/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
04/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,80,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
04/09/2010,BADALONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
24/06/2010,FOGARS DE TORDERA,Selva,Barcelona,0,2,4,100,No,Good weather,On vacation,Road,Light wind,Night,Moving vehicles collision
25/07/2010,CAMARASA,Noguera,Lleida,0,1,4,NA,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
11/12/2010,VILAFRANCA DEL PENEDES,Alt Penedes,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
01/06/2010,VILA-SECA,Tarragones,Tarragona,0,1,1,40,No,Good weather,Onslaught (front-side),Road,Light wind,Night,Moving vehicles collision
19/10/2010,LLEIDA,Segria,Lleida,0,1,0,NA,Unspecified,Good weather,Run over,Urban zone,Light wind,Morning,Run over
21/10/2010,POLINYA,Valles Occidental,Barcelona,0,1,0,60,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
27/06/2010,LLOSSES; LES,Ripolles,Girona,1,1,1,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
18/02/2010,HOSPITALET DE LLOBREGAT,Barcelones,Barcelona,0,1,1,NA,No,Heavy rain,Run over,Urban zone,Light wind,Night,Run over
22/06/2010,BLANES,Selva,Girona,0,1,0,NA,No,Good weather,Lateral collision/friction,Road,Light wind,Night,Moving vehicles collision
02/06/2010,PREMIA DE MAR,Maresme,Barcelona,0,1,1,50,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
28/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,60,No,Good weather,Other roadway exits,Road,Light wind,Night,Unspecified roadway exit
04/10/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
17/06/2010,SABADELL,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
27/02/2010,SANT FOST DE CAMPSEN,Valles Oriental,Barcelona,1,1,1,50,Yes,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
14/10/2010,RIUDARENES,Selva,Girona,0,1,0,100,No,Good weather,Fall on the road,Road,Light wind,Morning,Overturn in roadway
04/09/2010,ALP,Cerdanya,Girona,0,1,1,60,No,Good weather,Fall on the road,Road,Light wind,Afternoon,Overturn in roadway
05/09/2010,VACARISSES,Valles Occidental,Barcelona,1,2,3,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
06/09/2010,NOU DE BERGUEDA; LA,Bergueda,Barcelona,0,2,0,100,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
15/10/2010,BARRUERA,Alta Ribagorca,Lleida,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Afternoon,Collision against an object in the roadway
08/09/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
06/08/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
20/11/2010,GURB,Osona,Barcelona,0,2,0,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
09/06/2010,SANT ESTEVE SESROVIRES,Baix Llobregat,Barcelona,0,1,2,100,No,Light rain,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
09/09/2010,GIRONA,Girones,Girona,0,1,0,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
09/10/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,NA,No,Good weather,Other roadway exits,Road,Light wind,Night,Unspecified roadway exit
20/04/2010,BORDILS,Girones,Girona,1,0,0,50,No,Good weather,Road exit with run over,Crossing,Light wind,Morning,Unspecified roadway exit
29/10/2010,FORNELLS DE LA SELVA,Girones,Girona,0,2,3,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
04/04/2010,LLICA D'AMUNT,Valles Oriental,Barcelona,0,1,0,NA,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
01/10/2010,ALDEA; L',Baix Ebre,Tarragona,0,1,0,50,No,Good weather,Fall on the road,Crossing,Light wind,Morning,Overturn in roadway
11/07/2010,PERELLO; EL,Baix Ebre,Tarragona,1,0,1,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
09/05/2010,BESALU,Garrotxa,Girona,1,1,0,80,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
16/11/2010,GIRONA,Girones,Girona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
28/02/2010,CALAFELL,Baix Penedes,Tarragona,0,1,1,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
06/09/2010,SANT RAMON,Segarra,Lleida,1,0,1,100,No,Light rain,Fall on the road,Road,Light wind,Afternoon,Overturn in roadway
11/01/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
27/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
27/12/2010,GARRIGUELLA,Alt Emporda,Girona,0,1,1,NA,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
17/09/2010,ULLDECONA,Montsia,Tarragona,1,2,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
11/07/2010,PERELLO; EL,Baix Ebre,Tarragona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Night,Run over
29/06/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
21/07/2010,SANT PERE DE RIBES,Garraf,Barcelona,0,1,0,30,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
01/02/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
14/03/2010,SANT ANDREU DE LLAVANERES,Maresme,Barcelona,0,1,1,100,No,Good weather,Fall on the road,Road,Light wind,Morning,Overturn in roadway
01/01/2010,SANT FELIU DE BUIXALLEU,Selva,Girona,0,1,0,NA,No,Good weather,Other roadway exits,Urban zone,Light wind,Night,Unspecified roadway exit
16/06/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,NA,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
30/07/2010,FOGARS DE TORDERA,Selva,Barcelona,1,2,1,100,No,Light rain,Lateral collision/friction,Road,Light wind,Night,Moving vehicles collision
09/12/2010,PRULLANS,Cerdanya,Lleida,1,0,2,70,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
17/02/2010,ROSES,Alt Emporda,Girona,1,0,0,40,No,Good weather,Run over,Crossing,Light wind,Morning,Run over
31/05/2010,SALOU,Tarragones,Tarragona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
02/05/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Light rain,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
01/11/2010,XERTA,Baix Ebre,Tarragona,0,1,0,40,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
19/11/2010,SANT JULIA DE RAMIS,Girones,Girona,0,1,2,60,No,Good weather,Frontal collision,Crossing,Light wind,Afternoon,Moving vehicles collision
05/10/2010,BARCELONA,Barcelones,Barcelona,0,2,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
13/11/2010,SABADELL,Valles Occidental,Barcelona,0,2,6,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Night,Moving vehicles collision
18/02/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
01/10/2010,LLICA D'AMUNT,Valles Oriental,Barcelona,0,1,0,NA,Unspecified,Good weather,Fall on the road,Road,Light wind,Morning,Overturn in roadway
04/11/2010,PINOS,Solsones,Lleida,1,2,0,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
21/02/2010,GARRIGAS,Alt Emporda,Girona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Night,Run over
17/12/2010,CABRERA DE MAR,Maresme,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
25/07/2010,PALAMOS,Baix Emporda,Girona,2,0,1,100,No,Good weather,Frontal collision,Road,Light wind,Night,Moving vehicles collision
31/08/2010,FORALLAC,Baix Emporda,Girona,1,0,1,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
06/02/2010,SELVA DEL CAMP; LA,Baix Camp,Tarragona,0,1,1,40,No,Good weather,Other roadway exits,Road,Light wind,Night,Unspecified roadway exit
27/03/2010,MAIALS,Segria,Lleida,1,1,0,40,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
13/04/2010,ESPLUGA DE FRANCOLI; L',Conca de Barbera,Tarragona,1,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
12/05/2010,SABADELL,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
07/10/2010,TORREDEMBARRA,Tarragones,Tarragona,0,1,0,70,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
16/05/2010,PONT DE MOLINS,Alt Emporda,Girona,1,0,2,50,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
20/01/2010,ARTES,Bages,Barcelona,2,3,1,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
25/01/2010,LLEIDA,Segria,Lleida,0,1,0,NA,No,Heavy rain,Run over,Urban zone,Light wind,Afternoon,Run over
28/04/2010,BARCELONA,Barcelones,Barcelona,0,1,0,60,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
18/03/2010,PRAT DE LLOBREGAT; E,Baix Llobregat,Barcelona,1,0,1,80,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
10/02/2010,VILANOVA I LA GELTRU,Garraf,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
23/10/2010,SABADELL,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
04/02/2010,SANT BOI DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
